board_certs,doctor,doctor_type,education,gender,individual_rating,languages,npi,overall_patient_ratings,overall_rating,practice,street_address,city_state,zoc_awards
The Mount Sinai Hospital,"Dr. Maria Sequeira, MD",Internist,"Medical School - Grant Government Medical College, Mumbai, Bachelor of Medicine, Bachelor of Surgery,Newark Beth Israel Medical Center, Residency in Internal Medicine",Female,,English,1346537362,"5,4.5,5",5,Mount Sinai Doctors,"255 Greenwich Street,, ,Suite 510","New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Jared Braunstein,,,,,,,,,,,,
"Beth Israel Medical Group,The Mount Sinai Hospital","Dr. Salvatore Cannizzo, MD","Internist, Primary Care Doctor","Medical School - Cornell University, Doctor of Medicine,NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Residency in  Internal Medicine",Male,,"English,Italian",1619051091,"5,4.5,5",5,Mount Sinai Doctors,"255 Greenwich Street,, ,Suite 510","New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
The Mount Sinai Hospital,"Dr. Maria Sequeira, MD",Internist,"Medical School - Grant Government Medical College, Mumbai, Bachelor of Medicine, Bachelor of Surgery,Newark Beth Israel Medical Center, Residency in Internal Medicine",Female,,English,1346537362,"5,4.5,5",5,Mount Sinai Doctors,"255 Greenwich Street,, ,Suite 510","New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Andrew Fallis,,,,,,,,,,,,
,Dr. Daniel L. Motola,,,,,,,,,,,,
The Mount Sinai Hospital,"Dr. Maria Sequeira, MD",Internist,"Medical School - Grant Government Medical College, Mumbai, Bachelor of Medicine, Bachelor of Surgery,Newark Beth Israel Medical Center, Residency in Internal Medicine",Female,,English,1346537362,"5,4.5,5",5,Mount Sinai Doctors,"255 Greenwich Street,, ,Suite 510","New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
The Mount Sinai Hospital,"Dr. Maria Sequeira, MD",Internist,"Medical School - Grant Government Medical College, Mumbai, Bachelor of Medicine, Bachelor of Surgery,Newark Beth Israel Medical Center, Residency in Internal Medicine",Female,,English,1346537362,"5,4.5,5",5,Mount Sinai Doctors,"255 Greenwich Street,, ,Suite 510","New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Maria Sequeira,,,,,,,,,,,,
,"Dr. Nicole Aucoin, OD",Optometrist,"State University of New York, Doctor of Optometry",Female,,English,1942641626,"4.5,4,4.5",4.5,NY Vision Group,"119-15 Atlantic Avenue,37 Murray Street,, ,#39, Unit B,279 Wyckoff Avenue","Richmond Hill,NY,11418,New York,NY,10007,Brooklyn,NY,11237","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Harry Koster,,,,,,,,,,,,
,"Dr. Henry Chaung, OD",Optometrist,"State University of New York, Doctor of Optometry",Male,,"Burmese,Chinese (Cantonese),Chinese (Mandarin),English",1003902883,"5,5,5",5,Horizon Vision,153A Hester St,"New York,NY,10013","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Carrie Friedman,,,,,,,,,,,,
,Dr. Neil Schafran,,,,,,,,,,,,
,Dr. Noga Harizman,,,,,,,,,,,,
The New York Eye and Ear Infirmary,"Dr. Gerald J. Shepps, MD","Glaucoma Specialist, Ophthalmologist","Clemson University (Bachelor’s),Harvard University, Massachusetts Eye and Ear Infirmary, Fellowship in Glaucoma and Anterior Segment,Medical School - University of South Carolina, Doctor of Medicine,New York Medical College, New York Eye and Ear Infirmary of Mount Sinai, Residency in Ophthalmology",Male,,"English,Spanish",1538277603,"4.5,4,4.5",4.5,Associate Opthalmologists,"150 Broadway,, ,Suite1401,305 East 40th Street,, ,Suite 1A","New York,NY,10038,New York,NY,10016","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,"Dr. Lina Cawog, OD",Optometrist,"State University of New York, Doctor of Optometry",Female,,"Arabic,English",,"5,4.5,5",5,Eyes on Second,170 Second Ave,"New York,NY,10003","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,"Dr. Erica Weinfeld, OD",Optometrist,"State University of New York, Doctor of Optometry",Female,,"English,Spanish",1265582522,"4.5,4.5,4.5",4.5,"Jacob Nachum OD, PC","26 Broadway,, ,908","New York,NY,10004","icon-see-you-again,icon-rapid-registration,icon-scheduling-hero"
,Dr. Darren Wallis,,,,,,,,,,,,
,Dr. Amanda Talbi,,,,,,,,,,,,
,Dr. Albert Joseph Rudick,,,,,,,,,,,,
,Dr. Jacob Nachum,,,,,,,,,,,,
,Dr. Milly M. Mui,,,,,,,,,,,,
"Flushing Hospital Medical Center,Jamaica Hospital Medical Center,The Mount Sinai Hospital","Dr. Sonya Dhar, MD","Glaucoma Specialist, Ophthalmologist","Boston University, Residency in Ophthalmology,Medical School - Boston University, Doctor of Medicine,University of Utah, Moran Eye Center, Fellowship in Glaucoma and Anterior Segment Surgery",Female,,English,1922274869,"5,5,5",5,Sonya Dhar,"25 5th Avenue,, ,Suite 1A","New York,NY,10003",icon-scheduling-hero
,"Dr. Veronica Ruelas, OD",Optometrist,"State University of New York, Doctor of Optometry",Female,,"English,Spanish",1558301333,"4.5,4.5,4.5",4.5,ThirdEyeChic Optometry,220 Murray St,"New York,NY,10282","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
The New York Eye and Ear Infirmary,"Dr. Angie Wen, MD","Refractive Surgeon, Ophthalmologist, Cornea & External Diseases Specialist","Columbia University, Edward S. Harkness Eye Institute, Fellowship in Cornea, Anterior Segment, and Refractive Surgery,Medical School - Northwestern University,Wayne State University, Kresge Eye Institute, Residency in Ophthalmology",Female,,"Chinese (Cantonese),Chinese (Mandarin),English,Spanish",1114048642,"4.5,4,4.5",4.5,New York Eye and Ear Infirmary of Mount Sinai,"77 Worth St,, ,Ground Floor,200 West 57th Street,, ,Suite 1410,310 E 14th Street,, ,Suite 319 S/304,1630 East 15th Street,, ,Suite 203","New York,NY,10013,New York,NY,10019,New York,NY,10003,Brooklyn,NY,11229",icon-see-you-again
,Dr. Adam Schneiderman,,,,,,,,,,,,
,"Dr. Oscar Leis, OD",Optometrist,"New England College of Optometry, Residency in Ocular Disease,State University of New York, Doctor of Optometry",Male,,"English,Spanish",1598148892,"5,4.5,5",5,Metropolitan Vision Correction Associates,22 West 13th Street,"New York,NY,10011","icon-see-you-again,icon-rapid-registration"
"Maimonides Medical Center,New York University Elaine A. and Kenneth G. Langone Medical Center","Dr. Joseph Sturm, MD",Ophthalmologist,"Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine",Male,,"Russian,English,Creole,Spanish,French",1588636039,"4.5,4.5,5",4.5,Joseph Sturm M.D.,161 Atlantic Ave,"Brooklyn,NY,11201","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
,Dr. Leeber Cohen,,,,,,,,,,,,
,Dr. Gerald J. Shepps,,,,,,,,,,,,
,Dr. Priti Batta,,,,,,,,,,,,
,Dr. Hampson A. Sisler,,,,,,,,,,,,
,Dr. Zachary Richardson,,,,,,,,,,,,
,Dr. Sarika Mehta,,,,,,,,,,,,
,Dr. Lina Cawog,,,,,,,,,,,,
,Dr. Seema Amin,,,,,,,,,,,,
,Dr. Emil Chynn,,,,,,,,,,,,
,"Dr. Thao Dung, OD",Optometrist,"New England College of Optometry, Doctor of Optometry",Female,,English,1558438101,"4.5,4.5,4.5",4.5,Cohen's Fashion Optical,"825 Broadway,2933 Broadway,630 Old Country Road,, ,Ground Floor","New York,NY,10003,New York,NY,10025,Garden City,NY,11530","icon-rapid-registration,icon-speedy-response"
,Dr. Ari Weitzner,,,,,,,,,,,,
,Dr. Elaine Chu,,,,,,,,,,,,
,Dr. Komal Patel,,,,,,,,,,,,
,"Dr. Stuart Friedman, OD",Optometrist,"New England College of Optometry, Doctor of Optometry",Male,,English,1497831846,"5,4.5,4.5",5,Heights Vision Center,132 Montague Street,"Brooklyn,NY,11201","icon-see-you-again,icon-rapid-registration,icon-scheduling-hero"
,"Dr. Chongmi Sung, OD",Optometrist,"State University of New York, Doctor of Optometry",Female,,English,1770628463,"4.5,4.5,5",4.5,Eyeco Vision,"152 Bedford Ave.,207 Court St","Brooklyn,NY,11211,Brooklyn,NY,11201","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Seema Amin,,,,,,,,,,,,
,Dr. Natalia Potapova,,,,,,,,,,,,
,Dr. Craig Moskowitz,,,,,,,,,,,,
"American Board of Ophthalmology,American Board of Pediatrics","Dr. Richard Storm, MD",Ophthalmologist,"Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine",Male,,English,1083714547,"5,4,5",5,Richard Storm,"161 Atlantic Ave,, ,Suite 203,303 E Park Ave","Brooklyn,NY,11201,Long Beach,NY,11561",icon-see-you-again
,Dr. Gillian Mancuso,,,,,,,,,,,,
,Dr. Robert Ritch,,,,,,,,,,,,
,"Dr. Kevin Murtha, OD",Optometrist,State University of New York,Male,,English,1225104425,"4.5,4.5,4.5",4.5,Cohens Fashion Optical,275 7th Ave,"New York,NY,10001",icon-scheduling-hero
American Board of Ophthalmology,"Dr. David Soltanpour, MD",Ophthalmologist,"Medical School - Virginia Commonwealth University, Doctor of Medicine,New York Medical College, Residency in Ophthalmology,Virginia Commonwealth University, Internship in Ophthalmology,Virginia Commonwealth University, Residency in Anesthesiology",Male,,"English,French,Spanish",1639274475,"5,4,5",5,"David Soltanpour, MD","200 Livingston St,142 Joralemon St.,, ,#7D","Brooklyn,NY,11201,Brooklyn,NY,11201",icon-see-you-again
American Board of Ophthalmology,"Dr. Edward Rubinchik, MD",Ophthalmologist,"Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,The Brookdale University Hospital and Medical Center, Residency in Ophthalmology",Male,,"English,Hebrew,Russian,Spanish",1487632568,"4.5,4,4.5",4.5,Smart Eye Care,"35 West End Avenue,, ,Unit 1C, #37,142 Joralemon St.,, ,10B","Brooklyn,NY,11235,Brooklyn,NY,11201",icon-see-you-again
,Dr. Tak Yee Tania Tai,,,,,,,,,,,,
,"Dr. Irina Shiyan, OD",Optometrist,"State University of New York, Doctor of Optometry",Female,,"English,Russian,Spanish,Ukrainian",1972758449,"4.5,4.5,4.5",4.5,Eyes on Second,170 Second Ave,"New York,NY,10003","icon-see-you-again,icon-speedy-response"
American Board of Optometry,"Dr. Robert Behan, OD",Optometrist,"Illinois College of Optometry, Doctor of Optometry,Illinois Eye Institute (Residency),The Chicago Lighthouse for People Who Are Blind or Visually Impaired (Residency)",Male,,"English,Spanish",1275547416,"5,4.5,5",5,Metropolitan Vision Correction Associates,22 West 13th Street,"New York,NY,10011","icon-see-you-again,icon-rapid-registration"
The New York Eye and Ear Infirmary,"Dr. Craig Moskowitz, MD","Refractive Surgeon, Ophthalmologist, Cornea & External Diseases Specialist","Dr. Agarwal’s Eye Hospital, Fellowship in Cataract and Refractive Surgery,McGill University (Residency),Medical School - Northeast Ohio Medical University, Doctor of Medicine,Ohio State University, Fellowship in Corneal and Refractive Surgery",Male,,"English,French,Hebrew,Spanish",1003987512,"5,4.5,5",5,Moskowitz Eye Care,"110 E 40th St,, ,Suite #407,123 River Dr S","New York,NY,10016,Jersey City,NJ,07310",icon-see-you-again
,"Dr. Jeffrey Baruch, OD",Optometrist,"Shaare Zedek Medical Center, Externship in Optometry,State University of New York, Doctor of Optometry",Male,,English,1760423321,"5,4.5,5",5,Dr. Jeffrey Baruch,"647 Howard Ave,226 Flatbush Ave,, ,Between Bergen and 6th St","West Hempstead,NY,11552,Brooklyn,NY,11217","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
"Mercy Medical Center,Queens Hospital Center,The New York Eye and Ear Infirmary","Dr. Stephen Perrone, MD",Ophthalmologist,"Medical School - McGill University Faculty of Medicine,Memorial Sloan-Kettering Cancer Center (Internship),North Shore University Hospital (Internship),The New York Eye and Ear Infirmary, Residency in Ophthalmology",Male,,"English,Polish",1881702272,"4.5,3.5,4.5",4.5,"Stephen C. Perrone, M.D., P.C.","450 Clinton Street,, ,Entrance on 1st Place,68-55 Fresh Pond Road","Brooklyn,NY,11231,Ridgewood,NY,11385",icon-see-you-again
Queens Hospital Center,"Dr. Daniel Khodadadian, MD","Refractive Surgeon, Ophthalmologist, Cornea & External Diseases Specialist","Lenox Hill Hospital, Residency in Ophthalmology,Louisiana State University, Fellowship in Cornea and Refractive Surgery,Medical School - State University of New York, Downstate Medical Center,Staten Island University Hospital, Internship in Internal Medicine",Male,,"English,Farsi,Hebrew,Spanish",1336174374,"4,2.5,3.5",4,"New York Eye Care & Surgery, PC","662 bedford ave,287 Northern Blvd,, ,Suite #101,4014 Church Ave","brooklyn,NY,11249,Great Neck,NY,11021,Brooklyn,NY,11203","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
"Lenox Hill Hospital,The New York Eye and Ear Infirmary","Dr. Jonathan Ellant, MD","Refractive Surgeon, Ophthalmologist","Gimbel Eye Centre, Fellowship in Cataract and Refractive Surgery,Lenox Hill Hospital, Residency in Ophthalmology,Medical School - Tufts University, Doctor of Medicine,St. Elizabeth’s Medical Center (Internship)",Male,,"English,Italian,Russian,Spanish",1306918669,"4.5,4,4.5",4.5,"Jonathan Ellant, MD","114 East 27th St,, ,Between Park & Lex","New York,NY,10016","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,"Dr. Kathy Lee, OD",Optometrist,"State University of New York, Doctor of Optometry",Female,,English,1760770416,"4.5,4.5,4.5",4.5,Penn Optical/ Miles and Tisch Eyecare,"450 7th Avenue,, ,Suite 300,888 8th Avenue","New York,NY,10123,New York,NY,10019","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Dennis Cheng,,,,,,,,,,,,
,"Dr. Abraham Alboher, OD",Optometrist,"State University of New York, Doctor of Optometry",Male,,English,1225559651,"5,4,5",5,Dr. Alan Schlussel,200 East 33rd St,"New York,NY,10016","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Adam Schneiderman,,,,,,,,,,,,
,Dr. H. Jay Wisnicki,,,,,,,,,,,,
The New York Eye and Ear Infirmary,"Dr. Craig Moskowitz, MD","Refractive Surgeon, Ophthalmologist, Cornea & External Diseases Specialist","Dr. Agarwal’s Eye Hospital, Fellowship in Cataract and Refractive Surgery,McGill University (Residency),Medical School - Northeast Ohio Medical University, Doctor of Medicine,Ohio State University, Fellowship in Corneal and Refractive Surgery",Male,,"English,French,Hebrew,Spanish",1003987512,"5,4.5,5",5,Moskowitz Eye Care,"110 E 40th St,, ,Suite #407,123 River Dr S","New York,NY,10016,Jersey City,NJ,07310",icon-see-you-again
The New York Eye and Ear Infirmary,"Dr. Eric Dessner, MD",Ophthalmologist,"Bascom Palmer Eye Institute, Fellowship in Pediatric Ophthalmology,Medical School - Rosalind Franklin University of Medicine and Science, Doctor of Medicine,Saint Luke's-Roosevelt Hospital Center, Residency in Ophthalmology",Male,,"English,Spanish",1861686545,"4.5,4.5,4.5",4.5,Downtown Eyecare,398 Bridge Street,"Brooklyn,NY,11201","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Chongmi Sung,,,,,,,,,,,,
,"Dr. Eric Colman, OD",Optometrist,"New England College of Optometry, Doctor of Optometry",Male,,English,1114080942,"4.5,5,5",4.5,Flatbush Optical,139 Flatbush Ave,"Brooklyn,NY,11217",icon-see-you-again
,Dr. Bruce Fernandes,,,,,,,,,,,,
,Dr. Chingman (Erica) Chung,,,,,,,,,,,,
,Dr. Steven Givner,,,,,,,,,,,,
,Dr. Yoonsung Kim,,,,,,,,,,,,
,Dr. Amber Shah,,,,,,,,,,,,
,"Dr. David Gross, OD",Optometrist,"State University of New York, Doctor of Optometry",Male,,English,1760499628,"5,4.5,5",5,Chelsea Vision Associates,"241 W 23rd St,, ,#1","New York,NY,10011","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,"Dr. Alina Wertheim, OD",Optometrist,"New England College of Optometry, Doctor of Optometry",Female,,English,1760605075,"4.5,5,4.5",4.5,Ultimate Spectacle,789 Lexington Avenue,"New York,NY,10065","icon-see-you-again,icon-speedy-response"
,Dr. Maria Sequeira,,,,,,,,,,,,
,Dr. Alexis Drullinsky,,,,,,,,,,,,
"Beth Israel Medical Center - Petrie Division,Beth Israel Medical Group","Dr. Mindy Satsky, MD",Primary Care Doctor,"Medical School - Drexel University, Philadelphia, Doctor of Medicine,Mount Sinai Medical Center, Residency in Internal Medicine",Female,,English,1912075391,"4.5,4.5,4.5",4.5,Mount Sinai Doctors,"309 West 23rd Street,, ,2nd Floor","New York,NY,10011","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
American Board of Internal Medicine,"Dr. Jared Braunstein, DO",Primary Care Doctor,"Lenox Hill Hospital, Residency in Internal Medicine,Medical School - New York Institute of Technology, New York College of Osteopathic Medicine, Doctor of Osteopathic Medicine",Male,,English,1295994762,"4.5,4,4.5",4.5,Medical Offices of Manhattan PCP,211 East 51st Street,"New York,NY,10022","icon-rapid-registration,icon-speedy-response"
The Mount Sinai Hospital,"Dr. Maria Sequeira, MD",Internist,"Medical School - Grant Government Medical College, Mumbai, Bachelor of Medicine, Bachelor of Surgery,Newark Beth Israel Medical Center, Residency in Internal Medicine",Female,,English,1346537362,"5,4.5,5",5,Mount Sinai Doctors,"255 Greenwich Street,, ,Suite 510","New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Salvatore Cannizzo,,,,,,,,,,,,
,Dr. Salvatore Cannizzo,,,,,,,,,,,,
The Mount Sinai Hospital,"Dr. Maria Sequeira, MD",Internist,"Medical School - Grant Government Medical College, Mumbai, Bachelor of Medicine, Bachelor of Surgery,Newark Beth Israel Medical Center, Residency in Internal Medicine",Female,,English,1346537362,"5,4.5,5",5,Mount Sinai Doctors,"255 Greenwich Street,, ,Suite 510","New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
"Beth Israel Medical Center - Petrie Division,Beth Israel Medical Group","Dr. Laurie Rice, MD",Primary Care Doctor,"Medical School - University of Utah, Doctor of Medicine,University of Utah, Residency in General Medicine",Female,,English,1063460194,"4.5,4,4.5",4.5,Mount Sinai Doctors,"55 East 34th Street,, ,1st Floor","New York,NY,10016","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Linda Wang,,,,,,,,,,,,
American Board of Ophthalmology,"Dr. Jessica Lee, MD","Retina & Vitreous Surgeon, Ophthalmologist","Albert Einstein College of Medicine of Yeshiva University, Montefiore Medical Center, Residency in Internal Medicine,Case Western Reserve University, Residency in Ophthalmology,Medical School - New York Medical College, Doctor of Medicine,New York Eye and Ear Infirmary, Fellowship in Vitreoretinal Surgery",Female,,"English,Korean,Spanish",1083906747,"4.5,4,5",4.5,New York Eye and Ear Infirmary of Mount Sinai,"77 Worth St,, ,Ground Floor,310 E 14th Street,, ,Suite 319 S/304","New York,NY,10013,New York,NY,10003",icon-see-you-again
"American Board of Anesthesiology,Pain Medicine (Anesthesiology)","Dr. Tanuj Palvia, MD","Anesthesiologist, Pain Management Specialist","Medical School - University of North Carolina, Doctor of Medicine,NYU Langone Medical Center, Fellowship in Interventional Pain Management,NYU Langone Medical Center, Residency in Anesthesiology",Male,,English,1679889315,"5,3.5,5",5,Hudson Spine & Pain Medicine,"281 Broadway,, ,2nd Floor,409 Fulton Street,, ,Second Floor","New York,NY,10007,Brooklyn,NY,11201","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Prem Chattoo,,,,,,,,,,,,
,Dr. Yakov Isakov,,,,,,,,,,,,
"American Board of Plastic Surgery,American Board of Surgery","Dr. Raul Cortes, MD","Hand & Microsurgery Specialist, Plastic Surgeon, Hand Surgeon, Aesthetic Surgeon","Harvard University, Residency in Plastic Surgery,Medical School - Emory University, Doctor of Medicine,University of California, Los Angeles, Fellowship in Hand Surgery,University of Michigan, Residency in General Surgery",Male,,"English,Spanish",1932273240,"5,4.5,5",5,Hudson Spine & Pain Medicine,"281 Broadway,, ,2nd Floor,281 Broadway,, ,1st Floor","New York,NY,10007,New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. James Farren,,,,,,,,,,,,
,Dr. Gennady Landa,,,,,,,,,,,,
,Dr. Matthew Kohler,,,,,,,,,,,,
"The Mount Sinai Hospital,The New York Eye and Ear Infirmary","Dr. Anna Aronzon, MD","Ear, Nose & Throat Doctor","Howard Hughes Medical Institute; NIH Research Scholars Program,Medical School - Johns Hopkins University, Doctor of Medicine,University of Pennsylvania Health System, Internship in Surgery,University of Pennsylvania Health System, Residency in Otolaryngology",Female,,"English,Russian",1245279488,"4.5,4.5,5",4.5,"ENT and Allergy Associates, LLP","150 Broadway,, ,Suite 1015","New York,NY,10038","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Krista McKenzie,,,,,,,,,,,,
,"Dr. Krista McKenzie, DDS","Dentist, Cosmetic Dentist","Bronx-Lebanon Hospital Center, Residency in General Practice,Dental School - New York University, Doctor of Dental Surgery",Female,,English,1770710147,"5,4.5,5",5,DENTAL365,"6645 Grand Ave,240 Madison Ave,, ,12th Floor,422 5th Avenue,19 Murray St","Maspeth,NY,11378,New York,NY,10016,Brooklyn,NY,11215,New York,NY,10007",icon-rapid-registration
,Dr. Krista McKenzie,,,,,,,,,,,,
,"Dr. Krista McKenzie, DDS","Dentist, Cosmetic Dentist","Bronx-Lebanon Hospital Center, Residency in General Practice,Dental School - New York University, Doctor of Dental Surgery",Female,,English,1770710147,"5,4.5,5",5,DENTAL365,"6645 Grand Ave,240 Madison Ave,, ,12th Floor,422 5th Avenue,19 Murray St","Maspeth,NY,11378,New York,NY,10016,Brooklyn,NY,11215,New York,NY,10007",icon-rapid-registration
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Upper East Side - 245 East 84th Street,Tribeca - 16 Park Place","New York,NY,10028,New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Upper East Side - 245 East 84th Street,Tribeca - 16 Park Place","New York,NY,10028,New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Krista McKenzie,,,,,,,,,,,,
,"Dr. Krista McKenzie, DDS","Dentist, Cosmetic Dentist","Bronx-Lebanon Hospital Center, Residency in General Practice,Dental School - New York University, Doctor of Dental Surgery",Female,,English,1770710147,"5,4.5,5",5,DENTAL365,"6645 Grand Ave,240 Madison Ave,, ,12th Floor,422 5th Avenue,19 Murray St","Maspeth,NY,11378,New York,NY,10016,Brooklyn,NY,11215,New York,NY,10007",icon-rapid-registration
,Dr. Mark Mohrmann,,,,,,,,,,,,
,Dr. Mark Mohrmann,,,,,,,,,,,,
,"Dr. Krista McKenzie, DDS","Dentist, Cosmetic Dentist","Bronx-Lebanon Hospital Center, Residency in General Practice,Dental School - New York University, Doctor of Dental Surgery",Female,,English,1770710147,"5,4.5,5",5,DENTAL365,"6645 Grand Ave,240 Madison Ave,, ,12th Floor,422 5th Avenue,19 Murray St","Maspeth,NY,11378,New York,NY,10016,Brooklyn,NY,11215,New York,NY,10007",icon-rapid-registration
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Upper East Side - 245 East 84th Street,Tribeca - 16 Park Place","New York,NY,10028,New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,"Dr. Krista McKenzie, DDS","Dentist, Cosmetic Dentist","Bronx-Lebanon Hospital Center, Residency in General Practice,Dental School - New York University, Doctor of Dental Surgery",Female,,English,1770710147,"5,4.5,5",5,DENTAL365,"6645 Grand Ave,240 Madison Ave,, ,12th Floor,422 5th Avenue,19 Murray St","Maspeth,NY,11378,New York,NY,10016,Brooklyn,NY,11215,New York,NY,10007",icon-rapid-registration
,Dr. Krista McKenzie,,,,,,,,,,,,
,Dr. Mark Mohrmann,,,,,,,,,,,,
,"Dr. Krista McKenzie, DDS","Dentist, Cosmetic Dentist","Bronx-Lebanon Hospital Center, Residency in General Practice,Dental School - New York University, Doctor of Dental Surgery",Female,,English,1770710147,"5,4.5,5",5,DENTAL365,"6645 Grand Ave,240 Madison Ave,, ,12th Floor,422 5th Avenue,19 Murray St","Maspeth,NY,11378,New York,NY,10016,Brooklyn,NY,11215,New York,NY,10007",icon-rapid-registration
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Upper East Side - 245 East 84th Street,Tribeca - 16 Park Place","New York,NY,10028,New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,"Dr. Krista McKenzie, DDS","Dentist, Cosmetic Dentist","Bronx-Lebanon Hospital Center, Residency in General Practice,Dental School - New York University, Doctor of Dental Surgery",Female,,English,1770710147,"5,4.5,5",5,DENTAL365,"6645 Grand Ave,240 Madison Ave,, ,12th Floor,422 5th Avenue,19 Murray St","Maspeth,NY,11378,New York,NY,10016,Brooklyn,NY,11215,New York,NY,10007",icon-rapid-registration
,Dr. Mark Mohrmann,,,,,,,,,,,,
,"Dr. Krista McKenzie, DDS","Dentist, Cosmetic Dentist","Bronx-Lebanon Hospital Center, Residency in General Practice,Dental School - New York University, Doctor of Dental Surgery",Female,,English,1770710147,"5,4.5,5",5,DENTAL365,"6645 Grand Ave,240 Madison Ave,, ,12th Floor,422 5th Avenue,19 Murray St","Maspeth,NY,11378,New York,NY,10016,Brooklyn,NY,11215,New York,NY,10007",icon-rapid-registration
,Dr. Mark Mohrmann,,,,,,,,,,,,
